,id_projeto,data_inicio,data_fim,descricao,descricao.1,ch_dedicada,sexo,ativo,id_pessoa,id_discente,curso,id_servidor,denominacao,unidade_lotacao
4508,1039,2017,31/12/2017,DOCENTE,COLABORADOR(A),64,F,True,178712,,,20644.0,Docente                       ,CCJ
4509,1039,2017,31/12/2017,DOCENTE,COLABORADOR(A),44,F,True,13254,,,15195.0,Docente                       ,CCJ
4510,1039,2017,31/12/2017,DOCENTE,COORDENADOR(A),640,F,True,19208,,,18325.0,Docente                       ,CCJ
4511,2250,2018,10/01/2019,DOCENTE,COORDENADOR(A),0,M,True,8101,,,8101.0,Docente                       ,CCTA
4513,1086,2017,31/12/2017,DOCENTE,COORDENADOR(A),660,F,True,9166,,,9167.0,Docente                       ,CCS
4517,1086,2017,31/12/2017,DOCENTE,COORDENADOR(A) ADJUNTO(A),20,F,True,12887,,,15137.0,Docente                       ,CCS
4518,885,2017,31/12/2017,DOCENTE,COORDENADOR(A),2,M,True,9096,,,9097.0,Docente                       ,CCTA
4519,885,2017,31/12/2017,DOCENTE,COORDENADOR(A) ADJUNTO(A),70,M,True,8147,,,8147.0,Docente                       ,CCTA
4522,808,2017,31/12/2017,DOCENTE,COORDENADOR(A),260,F,True,19201,,,18318.0,Docente                       ,CCAE
4524,1388,2017,31/12/2017,DOCENTE,COLABORADOR(A),320,F,True,268227,,,20033.0,Docente                       ,CTDR
4525,1388,2017,31/12/2017,DOCENTE,COLABORADOR(A),320,M,True,24565,,,18754.0,Docente                       ,CTDR
4526,1388,2017,31/12/2017,DOCENTE,COLABORADOR(A),320,F,True,328994,,,19951.0,Docente                       ,CTDR
4528,1388,2017,31/12/2017,DOCENTE,COORDENADOR(A),320,F,True,19506,,,19107.0,Docente                       ,CTDR
4529,535,2017,31/12/2017,DOCENTE,COLABORADOR(A),320,M,True,8350,,,8350.0,Docente                       ,CCTA
4530,535,2017,31/12/2017,DOCENTE,COLABORADOR(A),200,M,True,12444,,,12447.0,Docente                       ,CCTA
4531,535,2017,31/12/2017,DOCENTE,COORDENADOR(A),640,F,True,13087,,,20095.0,Docente                       ,CCTA
4533,535,2017,31/12/2017,DOCENTE,COLABORADOR(A),400,M,True,8091,,,8091.0,Docente                       ,CCTA
4539,535,2017,31/12/2017,DOCENTE,COLABORADOR(A),320,F,True,399022,,,20905.0,Docente                       ,CCTA
4540,535,2017,31/12/2017,DOCENTE,COORDENADOR(A) ADJUNTO(A),560,M,True,164615,,,21116.0,Docente                       ,CCTA
4542,535,2017,31/07/2017,DOCENTE,COLABORADOR(A),200,M,True,407391,,,21236.0,Docente                       ,CCTA
4555,543,2017,31/12/2017,DOCENTE,COORDENADOR(A) ADJUNTO(A),220,F,False,213347,,,19438.0,Docente                       ,CCTA
4556,543,2017,31/12/2017,DOCENTE,COORDENADOR(A),220,F,True,349009,,,20184.0,Docente                       ,CCHLA
4559,684,2017,31/12/2017,DOCENTE,COORDENADOR(A) ADJUNTO(A),640,F,True,9295,,,9296.0,Docente                       ,CCS
4584,684,2017,31/12/2017,DOCENTE,COORDENADOR(A),640,F,True,10439,,,10441.0,Docente                       ,CCS
4593,540,2017,31/12/2017,DOCENTE,COORDENADOR(A),0,M,True,147680,,,21263.0,Docente                       ,CCS
4597,540,2017,31/12/2017,DOCENTE,COLABORADOR(A),12,M,True,179,,,179.0,Docente                       ,CCS
4599,1114,2017,31/12/2017,DOCENTE,COORDENADOR(A),320,F,True,13542,,,13545.0,Docente                       ,CCS
4600,1114,2017,31/12/2017,DOCENTE,COLABORADOR(A),3,M,False,14452,,,14455.0,Docente                       ,CCHLA
4602,1114,2017,31/12/2017,DOCENTE,COLABORADOR(A),100,M,True,19316,,,18410.0,Docente                       ,CCS
4603,2981,2018,19/12/2018,DOCENTE,COORDENADOR(A),0,M,True,42766,,,18956.0,Docente                       ,CCM
4607,5930,2019,31/12/2019,DOCENTE,COLABORADOR(A),480,F,True,41020,,,18958.0,Docente                       ,CEAR
4609,5930,2019,31/12/2019,DOCENTE,COORDENADOR(A) ADJUNTO(A),480,F,True,14017,,,14020.0,Docente                       ,CEAR
4612,5930,2019,31/12/2019,DOCENTE,COLABORADOR(A),480,M,True,111963,,,19092.0,Docente                       ,CEAR
4613,5930,2019,31/12/2019,DOCENTE,COORDENADOR(A) ADJUNTO(A),1,M,False,111963,,,19092.0,Docente                       ,CEAR
4614,5930,2019,31/12/2019,DOCENTE,COORDENADOR(A),800,M,True,196505,,,19098.0,Docente                       ,CEAR
4615,1018,nan,,DOCENTE,COLABORADOR(A),6,M,True,13896,,,13899.0,Docente                       ,CT
4616,1018,2017,31/12/2017,DOCENTE,COLABORADOR(A),1,M,False,13896,,,13899.0,Docente                       ,CT
4619,1018,nan,,DOCENTE,COORDENADOR(A),12,M,True,11817,,,11820.0,Docente                       ,CT
4620,961,2017,31/12/2017,DOCENTE,COLABORADOR(A),60,F,True,21361,,,21302.0,Docente                       ,CCA
4627,961,2017,31/12/2017,DOCENTE,COLABORADOR(A),60,F,True,196826,,,19131.0,Docente                       ,CCA
4628,961,2017,31/12/2017,DOCENTE,COORDENADOR(A),230,F,True,12935,,,19493.0,Docente                       ,CCA
4631,1228,2017,31/12/2017,DOCENTE,COORDENADOR(A),320,F,True,14461,,,14464.0,Docente                       ,CT
4634,1228,2017,31/12/2017,DOCENTE,COORDENADOR(A) ADJUNTO(A),320,M,True,13512,,,13515.0,Docente                       ,CT
4635,580,2017,31/12/2017,DOCENTE,COLABORADOR(A),180,F,True,13429,,,13432.0,Docente                       ,CCS
4642,580,2017,31/12/2017,DOCENTE,COORDENADOR(A),340,F,True,15490,,,16797.0,Docente                       ,CCS
4647,580,2017,31/12/2017,DOCENTE,COLABORADOR(A),180,F,True,11305,,,14848.0,Docente                       ,CCS
4648,580,2017,31/12/2017,DOCENTE,COORDENADOR(A) ADJUNTO(A),180,F,True,11425,,,14881.0,Docente                       ,CCS
4655,1005,2017,31/12/2017,DOCENTE,COORDENADOR(A),640,F,True,13122,,,15170.0,Docente                       ,CCHLA
4657,1005,2017,31/12/2017,DOCENTE,COLABORADOR(A),320,F,True,14436,,,14439.0,Docente                       ,CCHLA
4658,1005,2017,31/12/2017,DOCENTE,COLABORADOR(A),320,F,True,11881,,,14978.0,Docente                       ,CCHLA
4659,1005,2017,31/12/2017,DOCENTE,COLABORADOR(A),320,F,True,9436,,,9437.0,Docente                       ,CCHLA
4660,1005,2017,31/12/2017,DOCENTE,COLABORADOR(A),320,F,True,8510,,,8510.0,Docente                       ,CCHLA
4690,1087,2017,31/12/2017,DOCENTE,COLABORADOR(A),1,F,False,13254,,,15195.0,Docente                       ,CCJ
4691,1087,2017,31/12/2017,DOCENTE,COLABORADOR(A),1,M,False,13575,,,13578.0,Docente                       ,CCJ
4700,1087,2017,31/12/2017,DOCENTE,COORDENADOR(A),640,F,True,178712,,,20644.0,Docente                       ,CCJ
4701,6123,2019,31/12/2019,DOCENTE,COLABORADOR(A),800,M,True,9496,,,9498.0,Docente                       ,CE
4703,6123,2019,31/12/2019,DOCENTE,COORDENADOR(A),800,M,True,9382,,,9383.0,Docente                       ,CE
4704,6123,2019,31/12/2019,DOCENTE,COLABORADOR(A),800,M,True,9387,,,9388.0,Docente                       ,CE
4706,2268,2018,31/12/2018,DOCENTE,COORDENADOR(A),800,F,True,116,,,116.0,Docente                       ,CCTA
4712,1030,nan,,DOCENTE,COORDENADOR(A) ADJUNTO(A),640,M,True,10242,,,14645.0,Docente                       ,CCAE
4716,1030,2017,11/01/2018,DOCENTE,MINISTRANTE,1,M,False,10242,,,14645.0,Docente                       ,CCAE
4717,1030,nan,,DOCENTE,COORDENADOR(A),1280,F,True,176729,,,18709.0,Docente                       ,CCAE
4723,982,2017,31/12/2017,DOCENTE,COLABORADOR(A),16,M,True,12793,,,15378.0,Docente                       ,CCA
4724,982,2017,31/12/2017,DOCENTE,COLABORADOR(A),14,F,True,13517,,,15224.0,Docente                       ,CCA
4732,982,2017,31/12/2017,DOCENTE,COORDENADOR(A),640,F,True,174156,,,19468.0,Docente                       ,CCA
4733,2692,2018,31/12/2018,DOCENTE,COORDENADOR(A),0,F,True,19224,,,18341.0,Docente                       ,CCEN
4737,1424,2017,31/12/2017,DOCENTE,COORDENADOR(A),640,M,True,19194,,,18311.0,Docente                       ,CCM
4738,1381,nan,,DOCENTE,COLABORADOR(A),4,M,True,4500,,,4500.0,Docente                       ,CCEN
4739,1381,nan,,DOCENTE,COLABORADOR(A),4,F,True,10485,,,10487.0,Docente                       ,CCEN
4750,1381,nan,,DOCENTE,COLABORADOR(A),4,M,True,115152,,,21223.0,Docente                       ,CCEN
4751,1381,nan,,DOCENTE,COLABORADOR(A),4,F,True,11879,,,11882.0,Docente                       ,CCEN
4752,1381,nan,,DOCENTE,COLABORADOR(A),4,M,True,329902,,,20026.0,Docente                       ,CCEN
4753,1381,2017,31/12/2017,DOCENTE,COORDENADOR(A) ADJUNTO(A),1,F,False,167611,,,18581.0,Docente                       ,CCEN
4754,1381,nan,,DOCENTE,COLABORADOR(A),4,M,True,9580,,,9582.0,Docente                       ,CCEN
4755,1381,nan,,DOCENTE,COORDENADOR(A) ADJUNTO(A),4,F,True,167611,,,18581.0,Docente                       ,CCEN
4756,1381,nan,,DOCENTE,COLABORADOR(A),4,M,True,13043,,,13046.0,Docente                       ,CCEN
4757,1381,2017,31/12/2017,DOCENTE,INSTRUTOR / SUPERVISOR,1,M,False,13043,,,13046.0,Docente                       ,CCEN
4758,1381,2017,31/12/2017,DOCENTE,INSTRUTOR / SUPERVISOR,1,M,False,13043,,,13046.0,Docente                       ,CCEN
4759,1381,2017,31/12/2017,DOCENTE,COLABORADOR(A),1,M,False,13043,,,13046.0,Docente                       ,CCEN
4760,1381,2017,31/12/2017,DOCENTE,COLABORADOR(A),1,M,False,329902,,,20026.0,Docente                       ,CCEN
4761,1381,2017,31/12/2017,DOCENTE,COLABORADOR(A),1,F,False,10485,,,10487.0,Docente                       ,CCEN
4762,1381,2017,31/12/2017,DOCENTE,COLABORADOR(A),1,F,False,11879,,,11882.0,Docente                       ,CCEN
4763,1381,2017,31/12/2017,DOCENTE,COLABORADOR(A),1,M,False,115152,,,21223.0,Docente                       ,CCEN
4764,1381,2017,31/12/2017,DOCENTE,COLABORADOR(A),1,M,False,4500,,,4500.0,Docente                       ,CCEN
4765,1381,2017,31/12/2017,DOCENTE,COLABORADOR(A),1,M,False,9580,,,9582.0,Docente                       ,CCEN
4766,1381,2017,31/12/2017,DOCENTE,COORDENADOR(A) ADJUNTO(A),1,F,False,167611,,,18581.0,Docente                       ,CCEN
4767,1381,2017,31/12/2017,DOCENTE,COLABORADOR(A),1,M,False,13283,,,13286.0,Docente                       ,CCEN
4778,1381,nan,,DOCENTE,COORDENADOR(A),4,M,True,13501,,,13504.0,Docente                       ,CCEN
4784,1232,2017,31/12/2017,DOCENTE,COLABORADOR(A),40,N,True,219313,,,19532.0,Docente                       ,CCAE
4795,1232,2017,31/12/2017,DOCENTE,ORIENTADOR,58,F,True,26119,,,20140.0,Docente                       ,CCAE
4796,1232,2017,31/12/2017,DOCENTE,COORDENADOR(A),78,M,True,14459,,,14462.0,Docente                       ,CCAE
4798,1119,2017,31/12/2017,DOCENTE,COLABORADOR(A),96,M,True,8446,,,15840.0,Docente                       ,CCS
4800,1119,2017,31/12/2017,DOCENTE,COORDENADOR(A) ADJUNTO(A),320,M,True,9886,,,9888.0,Docente                       ,CCTA
4807,1119,2017,31/12/2017,DOCENTE,COORDENADOR(A),640,F,True,9434,,,9435.0,Docente                       ,CCTA
4814,2526,2018,16/12/2018,DOCENTE,COLABORADOR(A),32,M,True,14601,,,21245.0,Docente                       ,CCHLA
4815,2526,2018,16/12/2018,DOCENTE,COLABORADOR(A),28,M,True,14452,,,14455.0,Docente                       ,CCHLA
4816,2526,2018,16/12/2018,DOCENTE,COLABORADOR(A),28,F,True,9751,,,9753.0,Docente                       ,CE
4817,2526,2018,16/12/2018,DOCENTE,COORDENADOR(A),36,M,True,174005,,,18960.0,Docente                       ,CCHLA
4818,1068,2017,31/12/2017,DOCENTE,COORDENADOR(A),640,F,True,11929,,,15358.0,Docente                       ,CCHLA
4819,1068,2017,31/12/2017,DOCENTE,COORDENADOR(A) ADJUNTO(A),160,F,True,9447,,,19661.0,Docente                       ,CCHLA
4826,2272,2018,31/12/2018,DOCENTE,COLABORADOR(A),60,M,True,406472,,,21151.0,Docente                       ,CCA
4829,2272,2018,31/12/2018,DOCENTE,COLABORADOR(A),20,M,True,14360,,,14363.0,Docente                       ,CCA
4831,2272,2018,31/12/2018,DOCENTE,COORDENADOR(A) ADJUNTO(A),140,M,True,399802,,,20992.0,Docente                       ,CCA
4838,2272,2018,31/12/2018,DOCENTE,COLABORADOR(A),20,F,True,431703,,,22202.0,Docente                       ,CCA
4848,1125,2017,31/12/2017,DOCENTE,COORDENADOR(A),140,F,True,8455,,,8455.0,Docente                       ,CCA
4856,1252,2017,31/12/2017,DOCENTE,COLABORADOR(A),640,F,True,178712,,,20644.0,Docente                       ,CCJ
4857,1252,2017,31/12/2017,DOCENTE,COORDENADOR(A),640,M,True,13575,,,13578.0,Docente                       ,CCJ
4866,1252,2017,31/12/2017,DOCENTE,COLABORADOR(A),640,F,True,13254,,,15195.0,Docente                       ,CCJ
4872,563,2017,31/12/2017,DOCENTE,COLABORADOR(A),100,F,True,13809,,,13812.0,Docente                       ,CCA
4876,563,2017,31/12/2017,DOCENTE,COLABORADOR(A),112,F,True,11508,,,11511.0,Docente                       ,CCA
4887,563,2017,31/12/2017,DOCENTE,COLABORADOR(A),96,F,True,19285,,,18510.0,Docente                       ,CCA
4894,563,2017,31/12/2017,DOCENTE,COORDENADOR(A),640,M,True,14360,,,14363.0,Docente                       ,CCA
4908,563,2017,31/12/2017,DOCENTE,COLABORADOR(A),62,M,False,406472,,,21151.0,Docente                       ,CCA
4912,563,2017,31/12/2017,DOCENTE,COLABORADOR(A),66,F,False,12391,,,12394.0,Docente                       ,CCA
4915,2279,2018,31/12/2018,DOCENTE,COORDENADOR(A) ADJUNTO(A),210,F,True,19125,,,20322.0,Docente                       ,CTDR
4916,2279,2018,31/12/2018,DOCENTE,COORDENADOR(A),330,F,True,13537,,,19307.0,Docente                       ,CTDR
4925,2279,2018,31/12/2018,DOCENTE,COLABORADOR(A),180,F,True,19225,,,18342.0,Docente                       ,CTDR
4926,2279,2018,31/12/2018,DOCENTE,COORDENADOR(A) ADJUNTO(A),240,F,True,12991,,,12994.0,Docente                       ,CTDR
4927,2279,2018,31/12/2018,DOCENTE,COORDENADOR(A) ADJUNTO(A),240,F,True,13437,,,19822.0,Docente                       ,CTDR
4929,1046,2017,31/12/2017,DOCENTE,COLABORADOR(A),320,F,True,13426,,,13429.0,Docente                       ,CCS
4930,1046,2017,31/12/2017,DOCENTE,COORDENADOR(A),640,F,True,12906,,,15144.0,Docente                       ,CCS
4931,1046,2017,31/12/2017,DOCENTE,COLABORADOR(A),160,F,True,183,,,183.0,Docente                       ,CCS
4932,1046,2017,31/12/2017,DOCENTE,COLABORADOR(A),320,M,True,3858,,,3858.0,Docente                       ,CCS
4934,2960,2018,31/12/2018,DOCENTE,COORDENADOR(A),0,M,True,350520,,,20226.0,Docente                       ,CCTA
4938,6184,2019,31/12/2019,DOCENTE,COORDENADOR(A),165,M,True,13973,,,13976.0,Docente                       ,CI
4942,1060,2017,31/12/2017,DOCENTE,COORDENADOR(A) ADJUNTO(A),60,F,True,349732,,,20208.0,Docente                       ,CCSA
4943,1060,2017,31/12/2017,DOCENTE,COLABORADOR(A),40,M,True,14150,,,15255.0,Docente                       ,CCSA
4944,1060,2017,31/12/2017,DOCENTE,COLABORADOR(A),8,F,True,167619,,,18589.0,Docente                       ,CTDR
4945,1060,2017,31/12/2017,DOCENTE,COLABORADOR(A),28,F,True,38609,,,20871.0,Docente                       ,CCSA
4946,1060,2017,31/12/2017,DOCENTE,COORDENADOR(A),96,F,True,13176,,,13179.0,Docente                       ,CCSA
4947,1060,2017,31/12/2017,DOCENTE,COLABORADOR(A),32,M,True,194773,,,20678.0,Docente                       ,CCSA
4948,1060,2017,31/12/2017,DOCENTE,COLABORADOR(A),28,F,True,36734,,,19534.0,Docente                       ,CTDR
4949,1060,2017,31/12/2017,DOCENTE,COLABORADOR(A),36,F,True,19225,,,18342.0,Docente                       ,CTDR
4950,1184,nan,,DOCENTE,COORDENADOR(A) ADJUNTO(A),320,F,True,19213,,,18330.0,Docente                       ,CCS
4951,1184,2017,31/12/2017,DOCENTE,INSTRUTOR / SUPERVISOR,100,F,False,176587,,,19381.0,Docente                       ,CCS
4952,1184,2017,31/12/2017,DOCENTE,COLABORADOR(A),80,F,False,19213,,,18330.0,Docente                       ,CCS
4953,1184,nan,,DOCENTE,COORDENADOR(A),640,F,True,19202,,,18319.0,Docente                       ,CCS
4956,5484,2019,01/01/2020,DOCENTE,COORDENADOR(A) ADJUNTO(A),456,F,True,12991,,,12994.0,Docente                       ,CTDR
4957,5484,2019,01/01/2020,DOCENTE,COORDENADOR(A) ADJUNTO(A),1,F,False,12991,,,12994.0,Docente                       ,CTDR
4958,5484,2019,01/01/2020,DOCENTE,COORDENADOR(A) ADJUNTO(A),1,F,False,12991,,,12994.0,Docente                       ,CTDR
4959,5484,2019,01/01/2020,DOCENTE,COORDENADOR(A) ADJUNTO(A),1,F,False,12991,,,12994.0,Docente                       ,CTDR
4960,5484,2019,01/01/2020,DOCENTE,COORDENADOR(A),800,F,True,13288,,,13291.0,Docente                       ,CCTA
4963,2285,2018,31/12/2018,DOCENTE,ORIENTADOR,640,M,True,2277,,,2277.0,Docente                       ,CT
4970,781,2017,31/12/2017,DOCENTE,COORDENADOR(A),640,F,True,9305,,,9306.0,Docente                       ,CCHLA
4977,6121,2019,31/12/2019,DOCENTE,CONSULTOR / TUTOR,200,M,True,12485,,,12488.0,Docente                       ,CCS
4978,6121,2019,31/12/2019,DOCENTE,COLABORADOR(A),480,F,True,378764,,,21853.0,Docente                       ,CCS
4979,6121,2019,31/12/2019,DOCENTE,COORDENADOR(A),800,F,True,448091,,,22096.0,Docente                       ,CCS
4980,6121,2019,31/12/2019,DOCENTE,CONSULTOR / TUTOR,200,F,True,13788,,,13791.0,Docente                       ,CCM
4981,6121,2019,31/12/2019,DOCENTE,COLABORADOR(A),480,F,True,33934,,,20687.0,Docente                       ,CCS
4983,1373,2017,31/12/2017,DOCENTE,COORDENADOR(A) ADJUNTO(A),210,M,True,2416,,,2416.0,Docente                       ,CT
4986,1373,2017,31/12/2017,DOCENTE,COORDENADOR(A),580,F,True,19289,,,21776.0,Docente                       ,CT
4994,1373,2017,31/12/2017,DOCENTE,COLABORADOR(A),170,F,True,12999,,,13002.0,Docente                       ,CT
4996,2785,2018,31/12/2018,DOCENTE,COORDENADOR(A) ADJUNTO(A),480,F,True,7407,,,15798.0,Docente                       ,CE
4997,2785,2018,31/12/2018,DOCENTE,COORDENADOR(A),480,F,True,12808,,,12811.0,Docente                       ,CE
5003,814,2017,31/12/2017,DOCENTE,COORDENADOR(A),640,M,True,199065,,,19848.0,Docente                       ,CCA
5006,5772,2019,31/12/2019,DOCENTE,COLABORADOR(A),1,F,False,110986,,,20542.0,Docente                       ,CCHSA
5007,5772,2019,31/12/2019,DOCENTE,COLABORADOR(A),70,F,True,364261,,,20328.0,Docente                       ,CCHSA
5009,5772,2019,31/12/2019,DOCENTE,COORDENADOR(A) ADJUNTO(A),1,F,False,110986,,,20542.0,Docente                       ,CCHSA
5010,5772,2019,31/12/2019,DOCENTE,COLABORADOR(A),50,F,True,195814,,,19008.0,Docente                       ,CCHSA
5011,5772,2019,31/12/2019,DOCENTE,COORDENADOR(A) ADJUNTO(A),1,F,False,195814,,,19008.0,Docente                       ,CCHSA
5012,5772,2019,31/12/2019,DOCENTE,COLABORADOR(A),50,F,True,14456,,,14459.0,Docente                       ,CCHSA
5015,5772,2019,31/12/2019,DOCENTE,COORDENADOR(A) ADJUNTO(A),100,F,True,14255,,,14258.0,Docente                       ,CCHSA
5016,5772,2019,31/12/2019,DOCENTE,COORDENADOR(A),700,F,True,13462,,,13465.0,Docente                       ,CCHSA
5017,2423,2018,31/12/2018,DOCENTE,COLABORADOR(A),12,F,True,13790,,,13793.0,Docente                       ,CE
5023,2423,2018,31/12/2018,DOCENTE,COLABORADOR(A),12,F,True,13647,,,13650.0,Docente                       ,CCHLA
5024,2423,2018,31/12/2018,DOCENTE,COLABORADOR(A),12,M,True,8302,,,8302.0,Docente                       ,CCEN
5025,2423,2018,31/12/2018,DOCENTE,COORDENADOR(A),12,M,True,10420,,,10422.0,Docente                       ,CCHLA
5035,5536,2019,16/12/2019,DOCENTE,COORDENADOR(A),0,F,True,19123,,,18240.0,Docente                       ,CCEN
5038,2601,2018,31/12/2018,DOCENTE,COLABORADOR(A),320,F,True,10625,,,10627.0,Docente                       ,CCHLA
5039,2601,2018,31/12/2018,DOCENTE,COORDENADOR(A),320,M,True,12161,,,15023.0,Docente                       ,CCHLA
5040,1278,2017,31/12/2017,DOCENTE,COLABORADOR(A),190,F,True,12367,,,15066.0,Docente                       ,CCEN
5043,1278,2017,31/12/2017,DOCENTE,COLABORADOR(A),190,F,True,372244,,,20571.0,Docente                       ,CCEN
5052,1278,2017,31/12/2017,DOCENTE,COORDENADOR(A) ADJUNTO(A),480,M,True,14488,,,14491.0,Docente                       ,CCEN
5053,1278,2017,31/12/2017,DOCENTE,COORDENADOR(A) ADJUNTO(A),1,M,False,14488,,,14491.0,Docente                       ,CCEN
5054,1278,2017,31/12/2017,DOCENTE,COLABORADOR(A),1,F,False,12367,,,15066.0,Docente                       ,CCEN
5055,1278,2017,31/12/2017,DOCENTE,AUXILIAR TÉCNICO,1,M,False,12929,,,15149.0,Docente                       ,CCEN
5057,1278,2017,31/12/2017,DOCENTE,COLABORADOR(A),1,F,False,372244,,,20571.0,Docente                       ,CCEN
5061,1278,2017,31/12/2017,DOCENTE,COORDENADOR(A),640,M,True,195840,,,19026.0,Docente                       ,CCEN
5073,715,2017,31/12/2017,DOCENTE,COLABORADOR(A),320,F,True,14436,,,14439.0,Docente                       ,CCHLA
5074,715,2017,31/12/2017,DOCENTE,COLABORADOR(A),320,F,True,8510,,,8510.0,Docente                       ,CCHLA
5075,715,2017,31/12/2017,DOCENTE,COORDENADOR(A),640,F,True,11881,,,14978.0,Docente                       ,CCHLA
5090,715,2017,31/12/2017,DOCENTE,COLABORADOR(A),320,F,True,9436,,,9437.0,Docente                       ,CCHLA
5091,715,2017,31/12/2017,DOCENTE,COLABORADOR(A),320,F,True,13122,,,15170.0,Docente                       ,CCHLA
5093,1175,2017,31/12/2017,DOCENTE,COORDENADOR(A),640,F,True,12887,,,15137.0,Docente                       ,CCS
5094,1175,2017,31/12/2017,DOCENTE,COORDENADOR(A) ADJUNTO(A),30,F,True,9166,,,9167.0,Docente                       ,CCS
5111,2800,2018,31/12/2018,DOCENTE,COORDENADOR(A),800,F,True,424746,,,22090.0,Docente                       ,CCM
5114,743,2017,31/12/2017,DOCENTE,COORDENADOR(A),640,F,True,14624,,,14732.0,Docente                       ,CCM
5116,743,2017,31/12/2017,DOCENTE,COLABORADOR(A),160,F,True,197753,,,19163.0,Docente                       ,CCM
5131,782,2017,31/12/2017,DOCENTE,COORDENADOR(A) ADJUNTO(A),320,F,True,178023,,,20154.0,Docente                       ,CCS
5132,782,2017,31/12/2017,DOCENTE,COORDENADOR(A),0,M,True,13425,,,13428.0,Docente                       ,CCS
5136,2298,2018,31/12/2018,DOCENTE,COORDENADOR(A),800,F,True,12913,,,15147.0,Docente                       ,CCAE
5144,905,2017,31/12/2017,DOCENTE,COLABORADOR(A),320,M,True,166693,,,21487.0,Docente                       ,CCSA
5145,905,2017,31/12/2017,DOCENTE,COLABORADOR(A),320,F,True,181778,,,20891.0,Docente                       ,CCSA
5146,905,2017,31/12/2017,DOCENTE,COORDENADOR(A) ADJUNTO(A),640,M,True,315971,,,19844.0,Docente                       ,CCSA
5147,905,2017,31/12/2017,DOCENTE,COORDENADOR(A),640,F,True,19209,,,18326.0,Docente                       ,CCSA
5150,1409,2017,31/12/2017,DOCENTE,COLABORADOR(A),30,M,True,112669,,,19152.0,Docente                       ,CEAR
5153,1409,2017,31/12/2017,DOCENTE,COLABORADOR(A),70,M,True,24847,,,19158.0,Docente                       ,CT
5154,1409,2017,31/12/2017,DOCENTE,COORDENADOR(A),250,M,True,34720,,,19119.0,Docente                       ,CT
5167,5840,2019,31/12/2019,DOCENTE,COORDENADOR(A),600,F,True,11327,,,18768.0,Docente                       ,CCS
5171,5840,2019,31/12/2019,DOCENTE,COLABORADOR(A),200,F,True,8449,,,8449.0,Docente                       ,CCS
5172,5840,2019,31/12/2019,DOCENTE,COLABORADOR(A),400,M,True,8286,,,8286.0,Docente                       ,CCS
5173,5840,2019,31/12/2019,DOCENTE,COORDENADOR(A) ADJUNTO(A),400,F,True,13402,,,13405.0,Docente                       ,CCS
5174,1206,2017,31/12/2017,DOCENTE,COLABORADOR(A),298,F,True,135373,,,20295.0,Docente                       ,CE
5175,1206,2017,31/12/2017,DOCENTE,COLABORADOR(A),298,F,True,9347,,,9348.0,Docente                       ,CE
5176,1206,2017,31/12/2017,DOCENTE,COORDENADOR(A),298,F,True,174896,,,19321.0,Docente                       ,CCS
5177,1053,2017,31/12/2017,DOCENTE,COLABORADOR(A),640,M,True,9230,,,9231.0,Docente                       ,CCTA
5178,1053,2017,31/12/2017,DOCENTE,ASSESSOR,640,F,True,21376,,,20578.0,Docente                       ,CCTA
5188,1053,2017,31/12/2017,DOCENTE,COLABORADOR(A),640,M,True,198275,,,19177.0,Docente                       ,CCTA
5189,1053,2017,31/12/2017,DOCENTE,COLABORADOR(A),640,M,True,8172,,,8172.0,Docente                       ,CCTA
5194,1053,2017,31/12/2017,DOCENTE,ASSESSOR,1,M,False,8147,,,8147.0,Docente                       ,CCTA
5195,1053,2017,31/12/2017,DOCENTE,COLABORADOR(A),1,M,False,13223,,,15192.0,Docente                       ,CCTA
5199,1053,2017,31/12/2017,DOCENTE,MINISTRANTE,1,F,False,21376,,,20578.0,Docente                       ,CCTA
5206,1053,2017,31/12/2017,DOCENTE,COORDENADOR(A) ADJUNTO(A),1,M,False,8172,,,8172.0,Docente                       ,CCTA
5207,1053,2017,31/12/2017,DOCENTE,COORDENADOR(A) ADJUNTO(A),1,M,False,198275,,,19177.0,Docente                       ,CCTA
5208,1053,2017,31/12/2017,DOCENTE,COORDENADOR(A),640,M,True,9885,,,9887.0,Docente                       ,CCTA
5214,5932,2019,31/12/2019,DOCENTE,COLABORADOR(A),100,M,True,12197,,,12200.0,Docente                       ,CCS
5215,5932,2019,31/12/2019,DOCENTE,COORDENADOR(A) ADJUNTO(A),490,F,True,9408,,,9409.0,Docente                       ,CCS
5216,5932,2019,31/12/2019,DOCENTE,COORDENADOR(A),790,F,True,10706,,,10708.0,Docente                       ,CCS
5222,465,2017,31/12/2017,DOCENTE,COORDENADOR(A),640,M,True,12039,,,15012.0,Docente                       ,CCA
5226,465,2017,15/12/2017,DOCENTE,COLABORADOR(A),40,F,False,11576,,,11579.0,Docente                       ,CCA
5227,2303,2018,31/12/2018,DOCENTE,COORDENADOR(A),900,F,True,195867,,,19503.0,Docente                       ,CCM
5229,1404,2017,31/12/2017,DOCENTE,COLABORADOR(A),90,F,True,195727,,,18950.0,Docente                       ,CCA
5231,1404,2017,31/12/2017,DOCENTE,COLABORADOR(A),100,M,True,13933,,,13936.0,Docente                       ,CCA
5238,1404,2017,31/12/2017,DOCENTE,COORDENADOR(A),640,M,True,13364,,,13367.0,Docente                       ,CCA
5241,520,2017,31/12/2017,DOCENTE,COORDENADOR(A),640,M,True,15526,,,16835.0,Docente                       ,CCS
